id,sku,description,model_number
1,14128539,MACBOOK PRO 13 2.5i5 4GB 500,MD101LL/A
1,14272549,IPOD SHUFFLE 2GB SILVER,MD778LL/A
1,14272550,IPOD SHUFFLE 2GB PURPLE,MD777LL/A
1,14272553,IPOD SHUFFLE 2GB GREEN,MD776LL/A
1,14272555,IPOD SHUFFLE 2GB BLUE,MD775LL/A
1,14272556,IPOD SHUFFLE 2GB YELLOW,MD774LL/A
1,14272558,IPOD SHUFFLE 2GB PINK,MD773LL/A
1,14272569,IPOD NANO 16GB SILVER,MD480LL/A
1,14272571,IPOD NANO 16GB PURPLE,MD479LL/A
1,14272572,IPOD NANO 16GB GREEN,MD478LL/A
1,14272573,IPOD NANO 16GB BLUE,MD477LL/A
1,14272575,IPOD NANO 16GB YELLOW,MD476LL/A
1,14272577,IPOD NANO 16GB PINK,MD475LL/A
1,14272633,IPOD TOUCH 32GB SILVER,MD720LL/A
1,14272640,IPOD TOUCH 32GB BLUE,MD717LL/A
1,14272642,IPOD TOUCH 32GB YELLOW,MD714LL/A
1,14272643,IPOD TOUCH 64GB YELLOW,MD715LL/A
1,14272645,IPOD TOUCH 32GB PINK,MC903LL/A
1,14295052,APPLE THUNDERBOLT DISPLAY,MC914LL/B
1,14334600,IPAD MINI 16GB WIFI WHT,MD531LL/A
1,14334602,IPAD MINI 16GB WHT WIFI+ATT,MD537LL/A
1,14805738,AIRPORT EXTREME BASE STATION,ME918LL/A
1,14805739,AIRPORT TIME CAPSULE 2TB,ME177LL/A
1,14805740,AIRPORT TIME CAPSULE 3TB,ME182LL/A
1,14840858,NEXUS 2 7 32 GB QUAD CORE,"NEXUS 2 7"""
1,14925033,IPOD TOUCH 32GB SPACE GREY,ME978LL/A
1,14935443,IMAC 27 3.4 QC 8GB 1TB GTX77,ME089LL/A
1,14935522,IMAC 21.5 2.7QC 8GB 1TB IRISP,ME086LL/A
1,14935525,IMAC 21.5 29 QH 8GB 1TB GT75,ME087LL/A
1,14935526,IMAC 27 3.2 QC 8GB 1TB GT755,ME088LL/A
1,14944614,IPOD SHUFFLE 2GB SPACE GREY,ME949LL/A
1,14944617,IPOD NANO 16GB SPACE GREY,ME971LL/A
1,14982114,IPAD MINI 2 WIFI 16GB SPACE GREY,ME276LL/A
1,14982115,IPAD MINI 2 WIFI 32GB SPACE GREY,ME277LL/A
1,14982117,IPAD MINI 2 WIFI 16GB SILVER,ME279LL/A
1,14982119,IPAD MINI 2 WIFI 32GB SILVER,ME280LL/A
1,14982308,IPAD MINI WIFI 16GB SPACE GREY,MF432LL/A
1,15061654,DELL XPS 13 I5 8GB 128GB W8T,XPS 13 128GB
1,15341163,GALAXY 7 TAB 4 8GB WHITE,"TAB 4 7"" WHITE"
1,15341167,GALAXY 7 TAB 4 8GB BLACK,"TAB 4 7"" BLACK"
1,15341168,GALAXY TAB 4 10.1 16GB BLACK,"TAB 4 10.1"" BLACK"
1,15363116,MBA 13.3 1.4GHZ I5 4GB 256GB,MD761LL/B
1,15372933,DELL VENUE 7 BLK ANDROID TAB,"VENUE 7"" BLACK"
1,15445757,IMAC 21.5 1.4 8GB 500GB HD,MF883LL/A
1,15467323,IPOD TOUCH 16GB SPACE GREY,MGG82LL/A
1,15521795,MBP13 RET 2.8GHZ I5 8GB 512GB,MGX92LL/A
1,15521796,MBP15 RET 2.2GHZ I7 16GB 256GB,MGXA2LL/A
1,15521797,MBP 15 RET 2.5 GZ i7 16GB 512GB,MGXC2LL/A
1,15653122,DELL INSP 11 5000 4GB 500 GB,INSP 5000 11
1,15658731,IPAD AIR WIFI 16GB SPACE GREY,MD785LL/B
1,15658732,IPAD AIR WIFI 32GB SPACE GREY,MD786LL/B
1,15658733,IPAD AIR WIFI 16GB SLVR,MD788LL/B
1,15658734,IPAD AIR WIFI 32GB SILVER,MD789LL/B
1,15658758,IPAD AIR 2 WIFI 64GB SPACE GREY,MGKL2LL/A
1,15658759,IPAD AIR 2 WIFI 64GB SILVER,MGKM2LL/A
1,15658760,IPAD AIR 2 WIFI 16GB SPACE GREY,MGL12LL/A
1,15658761,IPAD AIR 2 WIFI 16GB SILVER,MGLW2LL/A
1,15658764,IPAD AIR 2 WIFI 128GB SPACE GREY,MGTX2LL/A
1,15658766,IPAD AIR 2 WIFI 16GB GOLD,MH0W2LL/A
1,15658767,IPAD AIR 2 WIFI 64GB GOLD,MH182LL/A
1,15658768,IPAD AIR 2 WIFI 128GB GOLD,MH1J2LL/A
1,15658769,IPAD AIR 2 SIM 64GB SPACE GREY,MH2M2LL/A
1,15658771,IPAD AIR 2 SIM 64GB GOLD,MH2P2LL/A
1,15658772,IPAD AIR 2 SIM 16GB SPACE GREY,MH2U2LL/A
1,15658774,IPAD AIR 2 SIM 16GB GOLD,MH2W2LL/A
1,15658775,IPAD AIR 2 SIM 128GB SPACE GREY,MH312LL/A
1,15658777,IPAD AIR 2 SIM 128GB GOLD,MH332LL/A
1,15658779,IPAD MINI 3 WIFI 16GB SPACE GREY,MGNR2LL/A
1,15658780,IPAD MINI 3 WIFI 16GB SILVER,MGNV2LL/A
1,15658781,IPAD MINI 3 WIFI 16GB GOLD,MGYE2LL/A
1,15658782,IPAD MINI 3 WIFI 64 GB SPACE GREY,MGGQ2LL/A
1,15658783,IPAD MINI 3 WIFI 64 GB SILVER,MGGT2LL/A
1,15658784,IPAD MINI 3 WIFI 64GB GOLD,MGY92LL/A
1,15658788,IPAD MINI 3 16GB CELL SPACE GREY,MH3E2LL/A
1,15658790,IPAD MINI 3 16GB CELL GOLD,MH3G2LL/A
1,15658791,IPAD MINI 3 64GB CELL SPACE GREY,MH372LL/A
1,15658793,IPAD MINI 3 64GB CELL GOLD,MH392LL/A
1,15658797,MAC MINI 14.DC I5 4GB 500HD,MGEM2LL/A
1,15658798,MAC MINI 2.6 DC I5 8GB 1TB HD,MGEN2LL/A
1,15658799,MAC MINI 2.8 I5 8GB 1TB IR,MGEQ2LL/A
1,15658800,IMAC 27 3.5 QC 8GB 1TB M290X,MF886LL/A
1,15694468,ASUS K200 11.6 4GB 500GB W8,K200
1,16009182,MBA 13 1.6GHZ i5 4GB 128GB,MJVE2LL/A
1,16009184,MBA 11 1.6GHZ i5 4GB 128GB,MJVM2LL/A
1,16009186,MBP 13 RET 2.7GHZ i5 128GB,MF839LL/A
1,16009187,MBP 13 RET 2.7GHZ i5 256GB,MF840LL/A
1,16009188,MBP 13 RET 2.9 GHZ i5 515 GB,MF841LL/A
1,16009189,MBK 12 1.1GHZ 8GB 256GB SILVER,MF855LL/A
1,16009190,MBK 12 1.2GHZ 8GB 512GB SILVER,MF865LL/A
1,16009191,MBK 12 1.1GHZ 8GB 256GB SPACE GREY,MJY32LL/A
1,16009192,MBK 12 1.2GHZ 8GB 512GB SPACE GREY,MJY42LL/A
1,16009193,MBK 12 1.1GHZ 8GB 256GB GOLD,MF841LL/A
1,16090274,DELL INSP 14 5000 I7 8GB 128GB BEST,INSP 5000 14 BEST
1,16090325,DELL INSP 14 5000 I5 8GB 1TB BETTER,INSP 5000 14 BETTER
1,16114737,"LENOVO TPAD E550 15""",CI58GB500
1,16114745,"HP PAV 15"" 6GB 1TB DVD",PAV15
1,16180316,MBP 15 RET 2.2 I7 16GB 256GB,MJLQ2LL/A
1,16180317,MBP 15 RET 2.5 I7 16GB 512GB,MJLT2LL/A
1,16180318,IMAC 27 3.3QC I5 8GB 1TB 5K,MF885LL/A
1,16188941,DELL INSP 13 5000 8GB 500 GB 2X,INSP 5000 13
1,16416862,"DELL INSP 11"" C 4GB 500GB W10",INSP 3000 11
1,16528387,IPAD MINI 4 WIFI 16GB SILVER,MK6K2LL/A
1,16528400,IPAD MINI 4 WIFI 64GB SPC GRAY,MK9G2LL/A
1,16528403,IPAD MINI 4 WIFI 64GB GOLD,MK9J2LL/A
1,16618013,IPAD PRO 32GB WIFI SPC GRAY,ML0F2LL/A
1,16618014,IPAD PRO 32GB WIFI SILVER,ML0G2LL/A
1,16618016,IPAD PRO 32GB WIFI GOLD,ML0H2LL/A
1,16618017,IPAD PRO 128GB WIFI SPC GRAY,ML0N2LL/A
1,16584581,IMAC 21 2.8 I5 8GB 1TB,MK442LL/A
1,16584580,IMAC 21 1.6 I5 8GB 1TB,MK124LL/A
1,16584582,IMAC 21 3.1 I5 8GB 1TB RET 4K,MK452LL/A
1,16009194,MBK 12 1.2GHZ 8GB 512GB GOLD,MK4N2LL/A
1,17105498,IPAD PRO 9.7 WIFI 128GB SILVER,MLM2WLL/A
1,17105500,IPAD PRO 9.7 WIFI 128GB ROSE,MM192LL/A
1,17105496,IPAD PRO 9.7 WIFI 32GB ROSE,MM172LL/A
1,17105495,IPAD PRO 9.7 WIFI 32GB GRAY,MLMN2LL/A
1,17105501,IPAD PRO 9.7 WIFI 256GB S GR,MLMY2LL/A
1,17105497,IPAD PRO 9.7 WIFI 128GB S GR,MLMV2LL/A
1,17105499,IPAD PRO 9.7 WIFI 128GB GOLD,MLMX2LL/A
1,17172413,MACBOOK AIR 13 128 GB 1.6 GHZ,MMGF2LL/A
1,17172409,MACBOOK 12 GLD 256GB 1.1GHZ,MLHE2LL/A
1,17172411,MACBOOK 12 ROSE 256GB 1.1GHZ,MMGL2LL/A
1,17172405,MACBOOK 12 GRY 256GB 1.1GHZ,MLH72LL/A
1,17250782,MS SURFACEP4 I5 8G 256GB BUNDLE,SURFPRO256
1,17250373,MS SURFACEP4 M 4GB 128GB BUNDLE,SURFPRO128/M
1,17250490,MS SURFACEP4 I5 128GB BUNDLE,SURFPRO128/I5
1,17203600,Dell XPS 15 i5 8G 1T 32SSD,XPS15i5
1,17203595,INSP 11 2X1 PTM 4GB 500GB BL,i3186-9486BLU
1,17172407,MACBOOK 12 SLV 256GB 1.1GHZ,MLHA2LL/A
1,17203599,DELL XPS 13 I5 8GB 256GB,XPS13I5
1,17203598,DELL INSP I7 8G 1TB W10,INSP15I7
1,17172406,MACBOOK 12 GRY 512GB 1.2GHZ M5,MLH82LL/A
1,17172414,MACBOOK AIR 13 256 GB 1.6GHZ,MMGG2LL/A
1,17203592,INSP 11 2X1 PTM 4GB 500GB GR,I3186-9486GRE
1,16584583,IMAC 27 3.2 I5 8GB 1TB RET 5,MK462LL/A
1,16584585,IMAC 27 3.3 I5 8GB F2TB RET,MK482LL/A
1,16584584,IMAC 27 3.2 I5 8GB 1TB RET ,MK472LL/A
1,17514867,IPAD AIR 2 WIFI 32GB SPACE GREY,MNV22LL/A
1,17576992,MBP 15 TBAR 2.7 I7 16 512 GRAY,MLH42LL/A
1,17577083,MBP 13 TBAR 2.9 I5 8G 512 GRAY,MNQF2LL/A
1,17551317,INSP15 2X1 G7I7 8G 1T W10 BEST,INSP15G7I7
1,17576958,MBP 13 TBAR 2.9 I5 8G 256 GRAY,MLH12LL/A
1,17576977,MBP 15 TBAR 2.6 I7 16 256 GRAY,MLH32LL/A
1,17514869,IPAD AIR 2 WIFI 32GB SILVER,MNV62LL/A
1,17577068,MBP 15 TBAR 2.7 I7 16 512 SILVER,MLW82LL/A
1,17577024,MBP 13 USBC 2.0 I5 8G 256 SILVER,MLUQ2LL/A
1,17577055,MBP 15 TBAR 2.6 I7 16 256 SILVER,MLW72LL/A
1,17577040,MBP 13 TBAR 2.9 I5 8G 256 SILVER,MLVP2LL/A
1,17577101,MBP 13 TBAR 2.9 i5 8G 512 SILVER,MNQG2LL/A
1,17514717,IPAD MINI 4 WIFI 32GB SP GRAY,MNY12LL/A
1,17999389,IPAD 9.7 WIFI 32GB SPACE GRAY,MP2F2LL/A
1,17999430,IPAD 9.7 WIFI 32GB GOLD,MPGT2LL/A
1,17999448,IPAD 9.7 WIFI 128GB SPACE GRAY,MP2H2LL/A
1,17999467,IPAD 9.7 WIFI 128GB SILVER,MP2J2LL/A
1,17999411,IPAD 9.7 WIFI 32GB SILVER,MP2G2LL/A
1,16009185,MBA 11 1.6 GHZ i5 4GB 256GB,MJVP2LL/A
1,17105493,IPAD PRO 9.7 WIFI 32GB GOLD,MLMQ2LL/A
1,17577009,MBP 13 USBC 2.0 I5 8G 256 SPACE GRAY,MLL42LL/A
1,18013321,XPS i5 17 8GB 256SSD NVD GTX,XPS15-2017
1,18013314,XPS 13 I5 8GB 256GB SSD IHD,XPS13-2017
1,16528404,IPAD MINI 4 WIFI 128GB SP GRAY,MK9N2LL/A
1,17238105,DELL INSP 11 PTM 500 BLU ENDC,Inspiron11
1,17238106,DELL INSP 13 13 2X1 500G ENDC,Inspiron13
1,18240023,MACBOOK 12 GRY 256GB 1.2GHZ M3,MNYF2LL/A
1,18240026,MACBOOK 12 GRY 512GB 1.3GHZ I5,MNYG2LL/A
1,18240031,MACBOOK 12 SLV 256GB 1.2GHZ M3,MNYH2LL/A
1,18240033,MACBOOK 12 SLV 512GB 1.3GHZ I5,MNYJ2LL/A
1,18240034,MACBOOK 12 GLD 256GB 1.2GHZ M3,MNYK2LL/A
1,18240035,MACBOOK 12 GLD 512GB 1.3GHZ I5,MNYL2LL/A
1,18240036,MACBOOK 12 ROS 256GB 1.2GHZ M3,MNYM2LL/A
1,18240037,MACBOOK 12 ROS 512GB 1.3GHZ I5,MNYN2LL/A
1,18240038,MACBOOK AIR 13 128 GB 1.8GHZ,MQD32LL/A
1,18240039,MACBOOK AIR 13 256 GB 1.8GHZ,MQD42LL/A
1,18240041,MBP 13 USBC 2.3 I5 8G 128 GRAY,MPXQ2LL/A
1,18240042,MBP 13 USBC 2.3 I5 8G 128 SLV,MPXR2LL/A
1,18239976,MBP 13 USBC 2.3 I5 8G 256 GRAY,MPXT2LL/A
1,18239981,MBP 13 USBC 2.3 I5 8G 256 SLV,MPXU2LL/A
